#longitude	latitude	city
13.650000	43.066700	1363
13.583300	43.150000	1473
12.516700	42.016700	1098
12.400000	42.916700	388
12.833300	43.300000	292
13.066700	42.016700	1512
13.316700	41.774700	1383
14.416700	40.916700	253
14.365200	41.121000	55
14.966700	41.683300	1594
14.366000	40.878600	1216
15.283300	40.250000	1171
15.316700	40.150000	594
15.450000	40.083300	5
15.783300	40.033300	1641
15.066900	40.501600	1116
14.808300	40.774400	1667
17.700000	40.650000	1598
18.250000	40.266700	582
18.126500	40.051400	1336
16.330300	39.225200	563
16.300000	39.816700	375
16.860800	39.132800	1513
16.366700	39.066700	386
16.466700	38.466700	995
16.225800	38.682900	1077
15.931500	38.675800	567
15.712600	38.010300	1203
15.138200	37.902000	581
14.883300	37.083300	269
15.133300	37.683300	1616
15.233300	37.816700	282
12.788200	38.024200	111
12.968900	37.604100	1140
10.537200	35.872800	817
8.784200	34.425000	1451
8.784200	34.425000	597
6.633300	36.366700	1691
4.533300	36.461100	17
1.496100	35.185700	1738
-1.308100	35.280800	1692
-4.350000	34.910000	1138
-5.450000	35.283300	32
-7.162800	38.881500	524
-6.637800	40.061300	1197
-5.906200	40.506800	1593
-5.583300	40.316700	1047
-5.478900	40.476200	1243
-4.918000	39.962900	311
-4.900000	39.433300	1523
-3.621700	37.948500	1844
-3.012700	37.008400	968
-4.214600	37.945400	1044
-6.682000	37.948800	1892
-5.988900	37.675800	320
-5.634100	37.079500	516
-5.845900	36.136900	2037
-15.511800	28.100100	1618
-16.720100	28.050100	1046
-17.866700	28.566700	788
-16.333300	28.533300	108
-8.235400	37.101100	403
-7.652800	38.171300	1106
-8.379700	37.999700	536
-8.786100	38.380600	395
-9.192700	38.839000	1379
-8.388100	39.491800	1516
-8.347600	39.497300	1022
-8.495400	39.776500	1487
-8.536600	39.938700	534
-8.751000	39.979000	1172
-8.445600	40.290700	1624
-8.101900	40.531500	1176
-7.555500	40.705400	578
-8.374700	40.972700	229
-8.467300	40.820400	1069
-8.320700	40.800400	1935
-8.349100	41.052200	1654
-8.736400	41.313500	596
-8.300000	41.050000	1623
-8.308900	41.382100	283
-8.383300	42.116700	1504
-8.616700	42.200000	1845
-7.950000	42.316700	35
-7.259000	42.483000	1597
-8.750000	42.866700	1927
-7.566700	43.000000	1544
-7.015900	42.882900	329
-6.319400	42.939300	1938
-5.573500	43.259900	1045
-5.707300	43.302400	945
-5.864300	43.578700	1355
-2.480300	47.277500	151
-0.791300	46.077300	1559
-0.429000	46.049000	203
-0.300000	45.716700	236
-0.491500	45.701500	477
-0.435600	45.460900	1563
-0.300000	45.450000	1557
0.266700	45.683300	1199
0.024700	46.074600	1380
0.699600	45.589700	87
0.415700	44.997900	655
0.241900	44.374300	285
0.050000	44.333300	156
-0.153100	43.902800	1121
-0.392300	43.889900	234
-0.645500	43.664200	1666
-0.250000	43.516700	1805
-1.057200	43.384400	941
